subject_id,session_id,run_id,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,m_tsnr,outlier,qc_type,quality,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_fg,summary_p05_bg,summary_p05_fg,summary_p95_bg,summary_p95_fg,summary_stdv_bg,summary_stdv_fg
sub-2,0,task-objectviewing_run-11,11.2339408477,1.06084727517,0.98256294525,0.501989495242,68.5524673462,0.09056238062,0,0.0,8.47335,8.61385,9.42421,7.49417,0.020540881748,0.0509360507131,0.00642641400918,106.105422974,0.00220504132231,func,0.00342947958678,121,40,64,64,5.20664447131,2.5,3.5,3.75,3.75,72.5375213623,920.284790039,5.55371856689,523.424755859,271.884277344,1153.04707031,88.8734741211,184.818496704
sub-2,0,task-objectviewing_run-12,11.3627647403,1.13867267458,1.02224344933,0.503073018905,66.620010376,0.0781440779583,0,0.0,8.51161,8.65556,9.45568,7.53438,0.020966013601,0.0499360822141,0.00597875192761,125.359947205,0.00252975206612,func,0.00235266892562,121,40,64,64,5.20158485352,2.5,3.5,3.75,3.75,74.5369262695,919.801940918,6.77685928345,523.476831055,277.063619995,1151.98171387,90.5531921387,184.444107056
sub-3,0,task-objectviewing_run-01,22.1435574053,1.36685207775,1.0427847925,0.504017139806,67.5818099976,0.100403497762,0,0.0,14.9167,14.8459,16.3308,13.6902,0.00564627607992,0.0583450384438,0.0207873750478,71.4068145752,0.00319454545455,func,0.00413371966942,121,40,64,64,2.67914351953,2.5,3.5,3.75,3.75,67.7985534668,773.321716309,7.83471059799,226.916524506,230.545440674,1170.35325928,78.1553115845,318.707214355
sub-3,0,task-objectviewing_run-02,19.4850917502,1.25572412333,1.02257486458,0.503752550853,58.1683273315,0.103245205475,0,0.0,8.94547,9.14635,9.81094,7.97721,0.01338322005,0.03288866207,-0.00227486691438,92.7116622925,0.00262190082645,func,0.00375326917355,121,40,64,64,4.53540176554,2.5,3.5,3.75,3.75,79.7584991455,910.057250977,8.45454502106,471.133033752,296.560308838,1181.87139282,95.605140686,211.386901855
sub-3,0,task-objectviewing_run-03,20.276362483,1.25575135833,1.01313670242,0.503810622778,58.0265388489,0.102503813186,0,0.0,8.90829,9.13226,9.75256,7.93754,0.0100418023827,0.0327936671674,-0.00278182304464,88.2811660767,0.00253090909091,func,0.00435100454545,121,40,64,64,4.5633299001,2.5,3.5,3.75,3.75,79.3906402588,908.912902832,7.66115665436,468.353704834,295.727677917,1181.06604004,95.5741424561,210.993865967
sub-3,0,task-objectviewing_run-04,20.9896946193,1.32352235658,1.06953721958,0.503542165712,58.4315071106,0.110737707932,0,0.0,8.80458,9.00504,9.60288,7.89295,0.0603053156009,0.0329849757254,-0.0029152459465,76.6473388672,0.0071358677686,func,0.00520139297521,121,40,64,64,4.55224835114,2.5,3.5,3.75,3.75,78.5478134155,909.077575684,6.82644605637,470.923120117,294.497503662,1182.00826416,95.1484985352,210.993591309
sub-3,0,task-objectviewing_run-05,22.6370081901,1.29326536267,1.01736646342,0.50286604976,58.2124671936,0.0841504792583,0,0.0,8.56037,8.80401,9.28324,7.67533,0.0176832143925,0.0309690553695,-0.00262892222963,80.102355957,0.00280991735537,func,0.00506028545455,121,40,64,64,4.60542854145,2.5,3.5,3.75,3.75,78.6097640991,911.601745605,6.3057847023,476.67270813,295.5206604,1185.71727905,95.8222808838,209.630493164
sub-3,0,task-objectviewing_run-06,22.7683613223,1.29248686542,1.04314123133,0.504442381023,65.9469604492,0.077225672675,0,0.0,14.6175,14.6225,15.9081,13.4271,0.0255226379584,0.0585181564093,0.0204692687839,54.5200805664,0.0064326446281,func,0.00590551942149,121,40,64,64,2.71843248595,2.5,3.5,3.75,3.75,65.9549865723,772.822814941,4.78512382507,231.520645142,230.150821686,1162.82641602,79.0687026978,313.428375244
sub-3,0,task-objectviewing_run-07,21.6773650008,1.30288774658,1.08231120358,0.50371361855,58.469329834,0.100941851795,1,0.826446280992,8.68208,8.90218,9.32081,7.88718,0.0344194695969,0.0313811600208,-0.00270516541786,71.3711242676,0.0093352892562,func,0.0056928522314,121,40,64,64,4.51481567453,2.5,3.5,3.75,3.75,76.9886779785,904.903686523,5.3057847023,466.940466309,290.93924408,1180.2677002,94.4634552002,211.334655762
sub-3,0,task-objectviewing_run-09,18.5384683931,1.21997426333,1.00538161417,0.50524860622,58.4640922546,0.0906245422417,0,0.0,9.30979,9.389,10.1375,8.47754,0.0514941254923,0.0346340946853,-0.000685632694513,74.5537643433,0.00472305785124,func,0.00562706082645,121,40,64,64,4.54811208814,2.5,3.5,3.75,3.75,77.5199813843,899.326538086,3.59504127502,464.753704834,290.455355835,1166.20571289,93.5330352783,208.630950928
